Project Name,Owner,Developer,TCAD ID,Address,Zip Code,Council District,Kirwan Opportunity Index,Distance to Bus Stop,Total Units,Total Affordable Units,Unit Type,Program,Housing Type,Status,Affordability Start Date,Affordability Period,Affordability Expiration Date,Certification Date,C. of O. Date,Required Amount of Fee in Lieu,Date Fee in Lieu Received,Units <= 30% MFI,Units <= 40% MFI,Units <= 50% MFI,Units <= 60% MFI,Units <= 65% MFI,Units <= 80% MFI,Units <= 100% MFI,Market Rate Units,City Funded Amount,% of Funds Leveraged,CLT,DDB,RNY,MDA,NBG,PUDDA,SMART,TOD,UNO,VMU,Location
Arbor Terrace,FC Austin One Housing Corporation,"Foundation Communities, Inc.",,2501 S IH-35,78741,3,Low,1/2 Mile,120,120,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,06/24/2011,99,06/24/2010,09/30/2010,06/29/2012,,,0,0,120,0,0,0,0,0,$2898934.00,224.05%,No,No,No,No,No,No,Yes,No,No,No,"(30.2314602729335, -97.741395495667604)"
1220 Paul Theresa Saldana Street,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,,1220 Paul Theresa Saldana Street,78702,3,Very Low,1/4 Mile,2,2,Duplex,RHDA,Rental,Project Complete / Final C.of O. Received,01/25/2013,99,01/25/2012,10/25/2013,,,,0,0,2,0,0,0,0,0,$150000.00,215.33%,No,No,No,No,No,No,Yes,No,No,No,"(30.2698895050362, -97.702958679654301)"
1216 Paul Theresa Saldana Street,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,,1216 Paul Theresa Saldana Street,78702,3,Very Low,1/4 Mile,2,2,Duplex,RHDA,Rental,Project Complete / Final C.of O. Received,01/25/2013,99,01/25/2012,10/25/2013,,,,0,0,2,0,0,0,0,0,$150000.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.269795587178201, -97.7030101896883)"
1212 Paul Theresa Saldana Street,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,,1212 Paul Theresa Saldana Street,78702,3,Very Low,1/4 Mile,2,2,Duplex,RHDA,Rental,Project Complete / Final C.of O. Received,01/25/2013,99,01/25/2012,10/25/2013,,,,0,0,2,0,0,0,0,0,$150000.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.2696977138216, -97.703051729234403)"
1208 Paul Theresa Saldana Street,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,,1208 Paul Theresa Saldana Street,78702,3,Very Low,1/4 Mile,2,2,Duplex,RHDA,Rental,Project Complete / Final C.of O. Received,01/25/2013,99,01/25/2012,10/25/2013,,,,0,0,2,0,0,0,0,0,$150000.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.26960115, -97.703096110502003)"
907 Spence Street,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,,907 Spence Street,78702,3,Moderate,Neither,1,1,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,05/05/2005,20,05/05/2025,,,,,0,0,0,1,0,0,0,0,$65833.33,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.258685401946799, -97.735804575450899)"
Franklin Gardens,Chestnut Senior Housing,Chestnut Neighborhood Revitalization Corporation,,3522 E Martin Luther King Jr Boulevard,78723,1,Very Low,1/4 Mile,22,22,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,09/29/2009,50,09/29/1959,,,,,0,0,22,0,0,0,0,0,$1000000.00,219.04%,No,No,No,No,No,No,No,No,No,No,"(30.284132738913499, -97.697203399087101)"
Fort Branch Landing,Fort Branch Landing LP,Fort Branch Landing LP,,5841 Techni Center Drive,78721,1,Very Low,1/2 Mile,250,250,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,12/13/2000,20,12/13/2020,,,,,0,0,0,250,0,0,0,0,$500000.00,4122.21%,No,No,No,No,No,No,No,No,No,No,"(30.277720321500698, -97.666467165610001)"
1700 Martin Luther King Jr Boulevard,Blackland Community Development Corporation,Blackland Community Development Corporation,,1700 Martin Luther King Jr Boulevard,78722,1,Very High,1/4 Mile,2,2,Duplex,RHDA,Rental,Project Complete / Final C.of O. Received,01/01/2003,20,01/01/2023,,,,,0,0,0,2,0,0,0,0,$47142.86,0%,No,No,No,No,No,No,No,No,No,No,"(30.279913222000001, -97.723113003698501)"
1804 Martin Luther King Jr Boulevard,Blackland Community Development Corporation,Blackland Community Development Corporation,,1804 Martin Luther King Jr Boulevard,78722,1,Very High,1/4 Mile,1,1,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,01/01/2003,20,01/01/2023,,,,,0,0,1,0,0,0,0,0,$47142.86,0%,No,No,No,No,No,No,No,No,No,No,"(30.280024915676901, -97.721845578430006)"
1803 E 22nd Steet,Blackland Community Development Corporation,Blackland Community Development Corporation,,1803 E 22nd Steet,78722,1,Very High,1/4 Mile,2,2,Duplex,RHDA,Rental,Project Complete / Final C.of O. Received,01/01/2003,20,01/01/2023,,,,,0,0,1,0,0,1,0,0,$47142.86,0%,No,No,No,No,No,No,No,No,No,No,"(30.282563298812299, -97.722417742886094)"
2107 Salina Street,Blackland Community Development Corporation,Blackland Community Development Corporation,,2107 Salina Street,78722,1,Very High,1/4 Mile,1,1,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,01/01/2003,20,01/01/2023,,,,,0,0,0,0,0,1,0,0,$47142.86,0%,No,No,No,No,No,No,No,No,No,No,"(30.282086738041201, -97.722559167797698)"
Marshall Apartments,"Marshall Affordable Partners, Ltd.","Marshall Affordable Partners, Ltd.",,1401 E 12th Street,78702,1,Very Low,1/4 Mile,100,100,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,08/09/2011,99,08/09/2010,,,,,0,0,100,0,0,0,0,0,$2500000.00,369.56%,No,No,No,No,No,No,No,No,No,No,"(30.272703760757398, -97.724830493911099)"
Elm Ridge Apartments,"Elm Ridge Affordable Partners, Ltd.","Elm Ridge Affordable Partners, Ltd.",,1161 Harvey Street,78702,1,Very Low,1/4 Mile,130,130,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,02/17/2010,99,02/17/2009,,,,,0,0,130,0,0,0,0,0,$2500000.00,299.56%,No,No,No,No,No,No,No,No,No,No,"(30.274889587304799, -97.702419449934297)"
The Boulevard,UCP Austin Housing I,Easter Seals of Central Texas,703014,1201 Grove Boulevard,78741,3,Very Low,Neither,6,6,Multifamily,RHDA,Rental,Affordability Period Expired,10/28/2005,10,10/28/2015,,,,,0,0,6,0,0,0,0,0,$181717.00,228.46%,No,No,No,No,No,No,No,No,No,No,"(30.234191480345601, -97.704022527277104)"
Saint Louise House II,VinCare Services of Austin Foundation,VinCare Services of Austin Foundation,,Undisclosed,78745,5,Very Low,1/4 Mile,22,22,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,05/28/2008,99,05/28/2007,,,,,0,0,22,0,0,0,0,0,$1765294.00,105.84%,No,No,No,No,No,No,No,No,No,No,"(30.210936383651902, -97.803931496191893)"
Manor House,Volunteers of America - Texas,Volunteers of America - Texas,,5905 Manor Road,78723,1,Very Low,1/4 Mile,11,11,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,08/24/2001,20,08/24/2021,,,,,0,0,11,0,0,0,0,0,$260960.00,278.7%,No,No,No,No,No,No,Yes,No,No,No,"(30.306600379559299, -97.679408608741696)"
Austin Travis County MHMR,Austin Travis County Integral Care,Austin Travis County MHMR Center,471947,403 E 15th Street,78721,1,High,1/4 Mile,24,24,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,03/10/2010,20,03/10/2030,,,,,21,0,3,0,0,0,0,0,$1752175.00,83.04%,No,No,No,No,No,No,No,No,No,No,"(30.275598830627601, -97.735745569574206)"
1007 Waller Street,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,,1007 Waller Street,78702,1,Very Low,1/4 Mile,1,1,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,02/27/2001,20,02/27/2021,,,,,0,0,0,0,0,1,0,0,$25000.00,0%,No,No,No,No,No,No,No,No,No,No,"(30.2686462542793, -97.729282096432897)"
110 Chicon Street,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,,110 Chicon Street,78702,3,Very Low,1/4 Mile,2,2,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,03/31/2003,20,03/31/2023,,,,,0,0,0,0,0,2,0,0,$65000.00,100%,No,No,No,No,No,No,No,No,No,No,"(30.257945181452101, -97.724533291876298)"
